title,price,image_small
"Bananai, nuo 20 cm, 1 kg",0.99,https://cdn.barbora.lt/products/1d747537-6760-4098-ab24-8c658d1f9491_s.png
"Svogūnai, 1 kg",0.39,https://cdn.barbora.lt/products/53bf83ce-2f3f-4e63-8115-5d13a458f5b3_s.png
"Citrinos, 3-4 d., 1 kg",2.09,https://cdn.barbora.lt/products/484760fc-4195-4caf-ac05-6c4e0006a2bb_s.png
"Mandarinai, 1-4 d., 1 kg",1.49,https://cdn.barbora.lt/products/318e3764-9cee-437d-86d9-48cf1c4ebb08_s.png
"Ant kraiko laikomų vištų kiaušiniai WELL DONE, M, 10 vnt., 10 vnt.",2.19,https://cdn.barbora.lt/products/66392b7b-4f16-42dc-adc7-ac4d655799ff_s.png
"Pomidorai su šakelėmis, 67-82 mm, 1 kg",1.99,https://cdn.barbora.lt/products/47d978fd-e3c8-4c53-a297-7c6bf847489d_s.png
"Ilgavaisis agurkas plėvelėje, 1 vnt.",0.75,https://cdn.barbora.lt/products/27a01f84-3055-4a85-9674-9aa2abeb6dc5_s.png
"GRŪDĖTA varškė , 7 % rieb., 350 g",1.99,https://cdn.barbora.lt/products/3ccb5cc6-2dc1-404a-bc50-7878fe96bdd3_s.png
"Apelsinai, 4 - 5 d., 1 kg",1.19,https://cdn.barbora.lt/products/46fc148c-a34b-4e79-944c-dde7e26f7860_s.png
"Virtas pjaustytas kalakutienos kumpis, I r., 90 g",2.49,https://cdn.barbora.lt/products/e17112e7-800e-42c8-9310-cec555b24910_s.png
"Rauginti kopūstai LINKĖJIMAI IŠ KAIMO kibirėlyje, 800 g",2.49,https://cdn.barbora.lt/products/d3e1e289-be44-4adb-ac3b-96895be9e71c_s.png
"Lupti virti burokėliai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 500 g",0.59,https://cdn.barbora.lt/products/dbef6239-aa97-4d13-bc0c-80e893a0a80f_s.png
"Žaliosios besėklės vynuogės, 500 g",2.19,https://cdn.barbora.lt/products/ed117a6d-d949-478f-9fa0-efdde131061f_s.png
"Obuoliai CHAMPION, fasuoti, 65-75 mm, 1 kg",0.77,https://cdn.barbora.lt/products/f30d52e4-0e97-4c55-9608-6eefc4cb9d5a_s.png
"Didelės kviečių tortilijos SANTA MARIA TEX MEX, 6 vnt., 371 g",3.39,https://cdn.barbora.lt/products/df973d69-740c-4112-8417-8cd3fef02d60_s.png
"Plautos morkos LINKĖJIMAI IŠ KAIMO, 1 kg",0.69,https://cdn.barbora.lt/products/9a64c2cb-85cf-4e39-89c2-c09d08279f7f_s.png
"Sušokantis kačių kraikas LOVETT, 5 l  ",2.99,https://cdn.barbora.lt/products/32def010-f279-48a2-abf2-e84d48570574_s.png
"Tamsi raugo duona MORTA su medumi, 500 g",1.35,https://cdn.barbora.lt/products/937e7691-75f7-4fc7-b846-b302c68aca41_s.png
"Lydytas sviestas GHEE AMRITA, 99,8 %, 500 g",6.99,https://cdn.barbora.lt/products/07e4b204-c6a1-4104-ac5d-8aa72c3f2353_s.png
"Lapinės salotos vazonėlyje LOLLO BIONDO, 1 vnt.",1.19,https://cdn.barbora.lt/products/9313590b-1028-4c5b-be9c-2ae0cea0bb54_s.png
"Marinuoti agurkėliai SPILVA, 670 g",3.35,https://cdn.barbora.lt/products/0e426c63-8ac1-42dd-b4a3-bb5d0c2b9b26_s.png
"Melionai HONEY DEW, 1 kg",1.59,https://cdn.barbora.lt/products/af78450e-be25-4c91-8337-ce81eca2854a_s.png
"Kvietinės ORIGINAL tortilijos SANTA MARIA, 320 g",2.99,https://cdn.barbora.lt/products/2cf14ae5-d274-449e-9939-c0f188593fd3_s.png
"Konservuotos raudonosios pupelės EXTRA LINE, 400 g",0.69,https://cdn.barbora.lt/products/9b9eba12-8e6e-4306-85bf-8696c930b2de_s.png
"Rauginti kopūstai LINKĖJIMAI IŠ KAIMO, 500 g",1.59,https://cdn.barbora.lt/products/5358fae8-ecae-43de-ad71-6fd47e980cf5_s.png
"Raudonosios vynuogės, 1 kg",2.39,https://cdn.barbora.lt/products/0a780151-a291-425b-9791-36be34ab0ffc_s.png
"GRŪDĖTA varškė  su vyšniomis, 7 % rieb., 150 g",1.69,https://cdn.barbora.lt/products/e6b514a1-4ce2-4324-a891-672f5d0a4a41_s.png
"Sausainiai GAIDELIS KLASIKA, 160 g",0.45,https://cdn.barbora.lt/products/e378875f-d012-4f8d-a874-c308e949abd9_s.png
"Šaldyta pica DR. OETKER FELICIANA SALAME E CHORIZO, 320 g",3.59,https://cdn.barbora.lt/products/16e64fae-b461-4969-8314-1b84956e21ee_s.png
"Rauginti agurkai kibirėlyje, 600 g",2.19,https://cdn.barbora.lt/products/bb2db889-cea2-4ff7-ad92-7183f89d200d_s.png
"Konservuoti kukurūzai BONDUELLE, 340 g",2.19,https://cdn.barbora.lt/products/496b9948-8493-41d0-90a4-8e80c2e86da6_s.png
"Virtas KARALIŠKAS kalakutienos kumpis, a. r., 90 g",2.69,https://cdn.barbora.lt/products/78f4a3c5-7654-455c-b409-c4c7a1dc5f6f_s.png
"Konservuotos sviestinės pupelės WELL DONE, 400 g",1.35,https://cdn.barbora.lt/products/abe87b2a-fb94-42b5-be66-c80737b6935b_s.png
"Gazuotas gėrimas PEPSI, 1.5 l",1.99,https://cdn.barbora.lt/products/121552d3-a012-4e4b-911a-e4792dc98e80_s.png
"Varškės sūrelis MURR, sutirštinto pieno skonio, 28 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/845b75b5-3c5c-4b34-b84e-07bad16d1251_s.png
"Glaistytas varškės sūrelis MURR, maskarponės sk., 28 % rieb., 40 g",0.59,https://cdn.barbora.lt/products/47a25576-09e8-4230-a7a0-61dcff6cf329_s.png
