shop_name,product_name,shelf_price,image_url
IKI,"Šviežios viščiukų broilerių blauzdelės IKI MĖSA, 500 g",1.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2Fglobal_WysrSH1xbCZVzf1gaFqK_xGdb10o0VzY1SFD6eDjbpqgxmW02_Znot9BgTbLO0NdrN5YkK_thumb.jpg?generation=1647862191000378&alt=media
IKI,"Puskietis fermentinis sūris DVARO, 50% r.s.m., 240 g",2.63 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fchain_products%2FIKI%2Fthumb_WaJggrur7eiWHhqUVHTS.jpg?generation=1631695953137474&alt=media
IKI,"Kiaulienos mentė be kaulo ir odos, atšaldyta",2.99 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_231844_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_7dH0lbogtCIex0KqKboc.webp?alt=media&token=de0af015-3b7b-48bb-9627-7839f27d9dd2
IKI,"Popieriniai rankšluosčiai RENOVA EXTRA XXL, 1 vnt.",1.19 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_ouZiuG15S9r6PxsCVzET.jpg?generation=1656278737321688&alt=media
IKI,"Lietuviški ilgavaisiai agurkai, 1 vnt.",0.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2Fglobal_GRiBFOyfPCSIUCn9NLHM_W5RvAbpnRicygag1V4nopPhtD8z2_w3UjMbzk0bxA3YdbtnK6_thumb.jpg?generation=1683626302271763&alt=media
IKI,"Saldžios grietinėlės ŽEMAITIJOS sviestas, 82% rieb., 200 g",1.69 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fchain_products%2FIKI%2Fthumb_exJSQH4ZNyJC3Kjzt0dP.jpg?generation=1631695740339731&alt=media
IKI,"Šviežia viščiukų broilerių filė užauginta be antibiotikų, 500 g",4.79 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_273358_uF3DptJQvjXHqmno4Mal_ypG5B2DnLDpYhSsHU6LY.webp?alt=media&token=62e0a675-44bb-45b3-9d08-85efe442f635
IKI,Plautos morkos CLEVER,0.29 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_0SFs93BQwFn5k23gDvll.jpg?generation=1631004429577083&alt=media
IKI,Svogūnai CLEVER,0.39 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_BoT2PeAAz5J3AuHCTyte.jpg?generation=1639147461726135&alt=media
IKI,Citrinos BON VIA,1.95 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_2205_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_hlcy82BrF4srpcOlLjJO.webp?alt=media&token=1974b01b-9659-4ade-af7e-e184a285d18e
IKI,Mandarinai,1.74 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_Hy7HIb8PQCGqEvATZw8b.jpg?generation=1631695783290806&alt=media
IKI,"Skrudinamoji sumuštinių duona TOSTE, 500 g",1.19 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_38092_W5RvAbpnRicygag1V4nopPhtD8z2_j1kAPvFXlCE1JP8eoa1U.webp?alt=media&token=8e14bcda-6bd3-44cc-9504-4fbdc77013e1
IKI,"Vynuoginiai slyviniai pomidoriukai BON VIA, 250 g",0.99 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_2500_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_7s3Qw4RkElspXmPPv5tU.webp?alt=media&token=39056a4f-8fca-4412-9d26-dff8ef643e42
IKI,"Besėklės žaliosios vynuogės, 500 g",2.49 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fchain_products%2FIKI%2Fthumb_hcmNGxBKsp0jcdhciqfK.jpg?generation=1654374772066054&alt=media
IKI,"Sunokę avokadai BEST CHOICE, 2 vnt.",1.24 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_vrwQMaUbzHi4EB5CyXNR.jpg?generation=1643184103000986&alt=media
IKI,Sveriami obuoliai RAUDONIEJI,0.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_hEyrjLkWqfDN7Ce8b3K5.jpg?generation=1589636330241009&alt=media
IKI,"Vynuoginiai pomidoriukai COCKTAIL, 500 g",1.99 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_2505_uF3DptJQvjXHqmno4Mal_X4PZdpLoQiz4RwrvPpe1.webp?alt=media&token=94e1f021-5654-42d4-9637-96bdb526cc7d
IKI,"Žaliosios cukinijos BON VIA, 1 vnt.",0.89 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_2518_OrXUvGAuc2NCJDRvzNOTXOM3rsp1_kN4SGKNGvFyJOvVDSDjm.webp?alt=media&token=f4fd5273-e59e-4800-aad4-56cf6fd5b887
IKI,"Gazuotas gėrimas COCA COLA, 1,5 l",1.19 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_234594_Y5wHCakiRVc8Kf1fJt96vh8Tr2I2_prOWzpnjFLsKQ2sx9ocU.webp?alt=media&token=34fa1c95-dc0a-404c-a27a-2c93df26bc3a
IKI,"Svogūnų laiškai, 100 g",1.19 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_2674_W5RvAbpnRicygag1V4nopPhtD8z2_mfVpkAqMTT4gN65oTmLh.webp?alt=media&token=02a6cc02-9690-476d-8b4f-cc92870e5adf
IKI,"Avokadai, 1 vnt.",0.44 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2Fglobal_1RA2MejrFpM61j0dpP43_cTAkEjfDTeMFXf0e6W4JKKhwXXA3_cIQ08jOtIths09SLOkmW_thumb.jpg?generation=1665477260007150&alt=media
IKI,Didžiosios CONFERENCE  kriaušės,1.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_oCU2QwVelSeMv0gjLqmB.jpg?generation=1654689194993011&alt=media
IKI,Kekiniai pomidorai,2.49 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_IaN9NLqAtwfNIs6TkJuN.jpg?generation=1631695921921794&alt=media
IKI,"ŠVIEŽIŲ KRAPŲ RYŠULĖLIS, 50 g",0.79 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_80055_W5RvAbpnRicygag1V4nopPhtD8z2_SORvbLP9zNBqwuEcxePH.webp?alt=media&token=bdf401d4-3b12-4711-b6d6-f3d671d966eb
IKI,"Rokiškio NAMINĖ grietinė, 30% rieb., 400 g",2.39 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FCvKfTzV4TN5U8BTMF1Hl_YiC0qneuVRmNVwWsNvCc_xGdb10o0VzY1SFD6eDjbpqgxmW02_wWGRKMVbW7GdPbeCN7uF_thumb.jpg?generation=1676450892787995&alt=media
IKI,"Pievagrybiai, 250 g",0.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_MLH4mst5NjemUKJwdyl8.jpg?generation=1594714644850405&alt=media
IKI,"Sūdyta pjaustyta atlantinių lašišų filė ZIGMAS, 100 g",2.99 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fchain_products%2FIKI%2Fthumb_tRNtCgqYx05wjKAuYMB6.jpg?generation=1631696000563245&alt=media
IKI,ŠVIEŽI KOPŪSTAI,1.39 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_2610_W5RvAbpnRicygag1V4nopPhtD8z2_pT7UIynRE0ZEkp4ztDaj.webp?alt=media&token=525b427f-1cda-4777-8a08-7c156d5bc3a2
IKI,"Tualetinis popierius RENOVA, 12 vnt.",4.49 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_JuVv6Ny0IyovPupOeZ4N.jpg?generation=1631695728266798&alt=media
IKI,"Varškė 9% rieb. VILKYŠKIŲ, 180 g",0.99 €,https://firebasestorage.googleapis.com/v0/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2FthumbUrl%2FCvKfTzV4TN5U8BTMF1Hl_21685_Y5wHCakiRVc8Kf1fJt96vh8Tr2I2_O72OWameYM1z5CAM7ofF.webp?alt=media&token=e0cb14d7-bf0b-465f-bfb0-cc766c839874
IKI,Besėklės žaliosios vynuogės,2.79 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_EeHGUIdbga4F22LWQg63.jpg?generation=1582197450803403&alt=media
IKI,Kiviai,2.79 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_lSaktMLe3AWkowOwSeYa.jpg?generation=1582204910753443&alt=media
IKI,Didieji apelsinai,1.60 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fproducts%2Fthumb_v9lEM7yVXgupl6Ryi4he.jpg?generation=1631695779141586&alt=media
IKI,"Pienas DVARO, 2,5% rieb., 1 l",1.29 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/images%2Fchain_products%2FIKI%2Fthumb_F3EI9jYSehybmAwTbXJR.jpg?generation=1631696116719265&alt=media
IKI,Apelsinai mažieji,1.25 €,https://storage.googleapis.com/download/storage/v1/b/lastmile-ui/o/import%2Fphotos%2Fconverted%2Fproduct%2Fglobal_aeNR2W0FCvKqwJ6WA9ei_xGdb10o0VzY1SFD6eDjbpqgxmW02_yDHURbkEPUpHUsiFPs01_thumb.jpg?generation=1655458174337305&alt=media
