shop_name,product_name,shelf_price,image_url
Lidl,"Dražė, aplieta šokoladu",0.99,https://imgproxy-retcat.assets.schwarz/4-l-G-cE5qjstG0g1CFT8BgT_5KqpMJSnyXqlDMuduc/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9GRjQ0ODk2NEQzQTNENkRENDBCMEJERjg/wRTM4MThENUJCRUZFMDcyMUZDQjIzQUVCRDZDQTEwQzlCRjU1QjI5LnBuZw.png
Lidl,"Lėtai virti barbekiu šonkauliai",14.99,https://imgproxy-retcat.assets.schwarz/t7NSEqzokCXvPck7_pl8q85xU7_ugxAYeeKj2P8t4dE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0NBRTE2NEIxQkZENDkyNjlFOTUzRTQ5OE/M3OEI0RUIxNDNCNkM4MkQzMkZEOEM0M0IzQzNBNTc0OTgzM0ZGMjcucG5n.png
Lidl,"Vytinta Bernų dešra",6.49,https://imgproxy-retcat.assets.schwarz/3nUxOFB8nZG2TuXlxERoEKm4r3GAPifXZFBWIZRoZsw/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50Lzk0MzQ1OUJCMzE3ODE1QkIxQzcyNUZENE/VBN0ZBNDExQ0Q2QTI5RkM5NjQ3REVCMDA0RUZCMEYyQ0E3ODIyRDMucG5n.png
Lidl,"Virtos Giminių dešrelės",7.99,https://imgproxy-retcat.assets.schwarz/P1dIGjyzICHJNTSYilu7arJHHoIhdIcEgxSw-moi2nM/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS84RDAyRkY4OEMwNjk4NUQ4OUQ1MUU0MTA/4Mjc5OUUxQzFGRUY4MDQxOTAxQjc0NTc5NkUyNEQ1MzhBM0QxMEI5LmpwZw.jpg
Lidl,"Virta dešra",3.79,https://imgproxy-retcat.assets.schwarz/18ohdN8fFaThBmUS3lsBVeqe-VvjVFx8Jbmhc9qaepI/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0IxMkYxMjAyN0MxQ0FGMjFFNkZFQTAyRk/ZGMjY2OTczNDQ1NUU0NzZGRTAzMzVBQkE1MTJCN0Y4MUFDQkY3RkIucG5n.png
Lidl,"Karštai rūkytos dešrelės Kabanossi Exclusive",2.99,https://imgproxy-retcat.assets.schwarz/lN7VQ_LB33RaahraZ5vYqoApJdZg9mMnOyNFp8HJJnM/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS82N0MzQUQzQkJCN0YwNjIwRDEzMTk5M0E/3QjMyOEJFMDNCQjkwMTAwMThGNkY3MjFGNDUzRUJCMzZGN0IyMTQ5LmpwZw.jpg
Lidl,"Pieninio šokolado rutuliukai",3.49,https://imgproxy-retcat.assets.schwarz/Eo3KTJNwVGrVfLGJ_BgnV9cKnv_Tf0YudSl3qSzYeRc/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzI1QjhERTZGNjczNURCQzZGMzRBQkYyRD/hBRjc1NEI2RTE1RTZGMzdFOUM4RThGRTA5OEUxQzZBQUQ5QUQ5MTAucG5n.png
Lidl,"Mini sviestinis kruasanas",1.14,https://imgproxy-retcat.assets.schwarz/t8ELeoU_iwo0SAiaNsZWXziUqwYJG_taSv2oMCwv9Nw/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9FOENCMjAzQzRFNjc4RDA4RUI2QzVFM0I/4REY3NUMzRTYxN0Y5NTU2N0U5RTgxNTc3OTUxRjJEMTRGN0QyNjA4LnBuZw.png
Lidl,"Sumuštinis su vištiena",2.29,https://imgproxy-retcat.assets.schwarz/Gq_kIB7zy5_MG6x2VL3Von4TzDC6DQ5BM3dJjZIMZOo/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0I4MEMxNTU1ODNFMzdBNUU4MTg4NDIxRk/MwNzc4MkZBNDEyRDQwODlFQzc5MDI1MTkzNURCQzdDMEY1QUQxODEucG5n.png
Lidl,"„Pandoro“ pyragas",7.99,https://imgproxy-retcat.assets.schwarz/-fx3uPYo5p7ESLcHfSk7O7RB8FmxZZqDSoQzg3Ehir0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzE2Q0Y4RDQwNUUxRDREMjdFNjZFOTRERT/hFNkU1NzQ1MEU4MTkwQURCQ0U5NENDMTQ3RkFGNkZBNkQzNjhCRDQucG5n.png
